window_id,vibration_mean,vibration_std,vibration_rms,vibration_peak,vibration_peak_to_peak,vibration_variance,vibration_kurtosis,vibration_skewness,vibration_crest_factor,vibration_dominant_frequency,vibration_dominant_frequency_amplitude,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_range,temperature_trend,current_mean,current_std,current_min,current_max,current_rms,current_range,water_flow_mean,water_flow_std,water_flow_min,water_flow_max,water_flow_range,machine_id,label
W000,1.102095587012647,0.2850758959829718,1.138368547256663,1.4572130722067813,0.9306771025229177,0.08126826647049416,-0.6337640389485797,-0.734437851743475,1.2800890148612214,10.0,0.13880869270972862,39.89988251378303,1.1899147430690922,38.100043020890666,41.89246305591748,3.792420035026815,0.26201899064736556,5.032552766602658,0.2867902259960602,4.592745843380148,5.392179567704845,5.040717804278169,0.7994337243246976,49.39130621561277,0.9831024099212499,48.025995038712246,50.918927146775275,2.892932108063029,M001,0
W001,1.0796908262748863,0.3225706055007203,1.126846962047308,1.4895233506365952,0.9097313737129678,0.10405179553310133,-1.537622138208731,-0.2660666039544933,1.3218506157485306,30.0,0.1630175861950129,39.906599646164615,1.0728789198865287,38.183297534622646,41.74661835084998,3.563320816227332,0.07839778423953586,4.8427818042304684,0.19436064076972204,4.601001429409729,5.15543866529488,4.846680478643721,0.5544372358851506,49.626935465156784,1.0133241174021577,48.12840097561615,51.77163885734022,3.643237881724069,M001,0
W002,0.9370939618803902,0.2844123982784359,0.9793035819842476,1.4961213802400968,0.9846403582972771,0.08089041229449165,-0.5213165849441759,0.4145583290423298,1.5277401285602183,30.0,0.15045323429157442,39.845421590344394,1.0801906818034221,38.188465501698936,41.815263710084324,3.626798208385388,0.20564120137650427,5.0917092344618515,0.3525196974603389,4.563527706151957,5.4975376064951105,5.103897830619421,0.9340099003431535,50.214270671175385,0.9875132649543568,48.61135707419854,51.591291534409905,2.9799344602113678,M001,0
W003,0.9464783719449977,0.29790457956400196,0.9922542250274665,1.3787218778231842,0.8781499816952407,0.08874713852520479,-1.182929959477795,0.1297242330094492,1.3894845121823693,40.0,0.13267489952760883,40.23278195070857,0.8992287701922735,38.84719282176833,41.787797781191976,2.940604959423645,-0.07810164359700508,4.9107726230639175,0.3204236598586231,4.519476742385832,5.495149356660894,4.921215203304085,0.9756726142750622,49.93156650882727,1.1892500493207179,48.23170066597675,51.71639446505847,3.484693799081718,M001,0
W004,0.8836504934508713,0.25415409709810644,0.9194740342433397,1.3596354002537465,0.788642314244714,0.06459430507175372,-0.9565630631040207,0.5224200687987217,1.478709946793253,30.0,0.07913381411817605,39.79403095676128,1.1561575716019863,38.202353318099526,41.69306239710405,3.4907090790045245,0.029820545448354448,5.134366888056673,0.2958850039162514,4.7289417838111545,5.499282468412726,5.1428855010310395,0.7703406846015719,50.050348602642885,1.1386215095280483,48.393671484607836,51.62168005202451,3.2280085674166727,M001,0
W005,1.0513016978852736,0.3013513136931155,1.093639736952268,1.4689962572847513,0.9118309843772682,0.09081261426456651,-1.075945571348897,-0.012471687170483928,1.3432177047429887,20.0,0.17198087733967926,40.524961430886364,1.059375261899242,38.85498919679673,41.94123537511891,3.0862461783221775,-0.06471455267251446,4.958193364933839,0.2746786924476445,4.580111465240587,5.4573176408596735,4.9657959913954075,0.8772061756190865,49.93077446607969,1.3350479359445742,48.234541599888715,51.98169075797085,3.747149158082138,M001,0
W006,0.9579988312024644,0.30527333692321884,1.0054618694020798,1.3808641736864395,0.8083210591932822,0.09319181023623709,-1.6118901839562065,-0.06759750193897458,1.3733630440979339,10.0,0.12020487297858176,40.1416351697204,1.123016403286892,38.03129242860863,41.75572001570841,3.7244275870997825,0.029724578441139533,4.954624903631299,0.2648040878989039,4.634291114393368,5.4984544408544425,4.9616961959244765,0.8641633264610746,50.47053182737157,1.3340960480674264,48.46171468167641,51.98438579142038,3.5226711097439676,M001,0
W007,1.019857189920442,0.22794706923999908,1.0450208391259599,1.4039285715598933,0.7558347859924106,0.051959866375104934,-0.9972962520104973,0.10792408868057166,1.3434455266309508,40.0,0.11659300541051335,39.565773004693106,1.216277037706834,38.03867879843336,41.62134596431729,3.582667165883933,0.028806808359767563,5.027680971623569,0.3347955075537934,4.503545689087782,5.398924636526474,5.038815732322816,0.895378947438692,50.42710868700245,1.2088105417870774,48.369193870850935,51.719524062774695,3.35033019192376,M001,0
W008,1.1368296068780894,0.3108250944772569,1.1785558087894636,1.4625343157615553,0.9377479538633666,0.0966122393567957,-0.8242824059806195,-0.8120882832696339,1.2409546538689382,40.0,0.14125828648511288,40.14958067729349,1.3115483297186488,38.43238250561183,41.90482413172385,3.4724416261120226,-0.2760572961062005,5.133668290623126,0.35124479679355053,4.523664434701452,5.48114968719826,5.145670318376792,0.9574852524968085,49.94576960289917,1.132804720643793,48.714271264689856,51.7232635441933,3.0089922795034454,M001,0
W009,1.0314975880324067,0.2618380795979735,1.0642116584797534,1.440363670730183,0.9386723925115535,0.06855917992755471,-0.5440354420055651,-0.40646757735800615,1.3534560153078663,30.0,0.13021286189625106,40.08715458960303,0.7966529422930626,39.182620810103785,41.70230066199633,2.5196798518925476,-0.004845391132224925,4.907201004377789,0.25513401834279503,4.500405939697288,5.4028055457325825,4.9138289616837625,0.9023996060352948,50.02155339949623,0.8693114995172238,48.27989524450524,51.39206111802534,3.112165873520098,M001,0
